^TNX,^GSPC,^VIX,GC=F,SI=F,CL=F,NG=F,DX-Y.NYB,CNY=X,JPY=X,^HUI,^IXY,^IXR,^IXB,BTC-USD
2.122999906539917,2058.199951171875,17.790000915527344,1186.0,15.734000205993652,52.689998626708984,3.003000020980835,91.08000183105469,6.196100234985352,119.87000274658203,167.80999755859375,,,516.239990234375,315.0320129394531
2.0390000343322754,2020.5799560546875,19.920000076293945,1203.9000244140625,16.179000854492188,50.040000915527344,2.881999969482422,91.37999725341797,6.196100234985352,120.43399810791016,172.1999969482422,,,502.42999267578125,274.4739990234375
1.9630000591278076,2002.6099853515625,21.1200008392334,1219.300048828125,16.60300064086914,47.93000030517578,2.937999963760376,91.5,6.208399772644043,119.42500305175781,183.77999877929688,,,498.9800109863281,286.1889953613281
1.9539999961853027,2025.9000244140625,19.309999465942383,1210.5999755859375,16.510000228881836,48.650001525878906,2.871000051498413,91.88999938964844,6.202000141143799,118.6729965209961,181.14999389648438,,,503.9599914550781,294.3370056152344
2.0160000324249268,2062.139892578125,17.010000228881836,1208.4000244140625,16.35099983215332,48.790000915527344,2.927000045776367,92.37000274658203,6.203999996185303,119.28900146484375,177.47999572753906,,,515.9099731445312,283.3489990234375
1.9709999561309814,2044.81005859375,17.549999237060547,1216.0,16.38599967956543,48.36000061035156,2.946000099182129,91.94000244140625,6.203499794006348,119.79199981689453,186.3000030517578,,,513.3400268554688,290.4079895019531
1.9119999408721924,2028.260009765625,19.600000381469727,1232.699951171875,16.53499984741211,46.06999969482422,2.7950000762939453,91.9800033569336,6.200300216674805,118.21199798583984,194.3300018310547,,,511.7799987792969,267.7959899902344
1.8899999856948853,2023.030029296875,20.559999465942383,1234.300048828125,17.125,45.88999938964844,2.943000078201294,92.30999755859375,6.193399906158447,118.3280029296875,184.52000427246094,,,505.7900085449219,225.86099243164062
1.8370000123977661,2011.27001953125,21.479999542236328,1234.4000244140625,16.95599937438965,48.47999954223633,3.2330000400543213,92.16000366210938,6.187600135803223,117.79499816894531,181.32000732421875,,,499.75,178.10299682617188
1.774999976158142,1992.6700439453125,22.389999389648438,1264.699951171875,17.072999954223633,46.25,3.1579999923706055,92.3499984741211,6.184000015258789,117.38999938964844,194.58999633789062,,,499.1199951171875,209.843994140625
1.815000057220459,2019.4200439453125,20.950000762939453,1276.9000244140625,17.73900032043457,48.689998626708984,3.127000093460083,92.5199966430664,6.177499771118164,116.12999725341797,200.8699951171875,,,507.3699951171875,208.0970001220703
1.8070000410079956,2022.550048828125,19.889999389648438,1294.199951171875,17.94700050354004,46.38999938964844,2.8310000896453857,93.05000305175781,6.208000183105469,117.71199798583984,207.69000244140625,,,507.9100036621094,211.31500244140625
1.8530000448226929,2032.1199951171875,18.850000381469727,1293.699951171875,18.179000854492188,47.779998779296875,2.9739999771118164,92.9000015258789,6.204899787902832,118.64900207519531,205.77000427246094,,,512.8900146484375,226.89700317382812
1.8960000276565552,2063.14990234375,16.399999618530273,1300.699951171875,18.34600067138672,46.310001373291016,2.8350000381469727,94.23999786376953,6.201700210571289,117.86000061035156,203.64999389648438,,,519.5800170898438,233.406005859375
1.8170000314712524,2051.820068359375,16.65999984741211,1292.5999755859375,18.284000396728516,45.59000015258789,2.9860000610351562,95.0,6.198999881744385,118.7509994506836,196.3699951171875,,,511.2200012207031,232.87899780273438
1.8279999494552612,2057.090087890625,15.520000457763672,1279.4000244140625,17.966999053955078,45.150001525878906,2.88100004196167,94.80000305175781,6.217899799346924,117.36100006103516,198.61000061035156,,,513.6500244140625,273.4729919433594
1.8250000476837158,2029.550048828125,17.219999313354492,1291.699951171875,18.06800079345703,46.22999954223633,2.9809999465942383,94.0199966430664,6.245800018310547,118.5199966430664,206.08999633789062,,,509.82000732421875,263.4750061035156
1.7239999771118164,2002.1600341796875,20.440000534057617,1285.9000244140625,18.06800079345703,44.45000076293945,2.865999937057495,94.47000122070312,6.235099792480469,117.7750015258789,198.66000366210938,,,500.69000244140625,233.9149932861328
1.7510000467300415,2021.25,18.760000228881836,1254.5999755859375,16.757999420166016,44.529998779296875,2.7190001010894775,94.77999877929688,6.236499786376953,117.59200286865234,195.72000122070312,,,507.3399963378906,233.51300048828125
1.6749999523162842,1994.989990234375,20.969999313354492,1278.5,17.191999435424805,48.2400016784668,2.690999984741211,94.80000305175781,6.236599922180176,118.24800109863281,201.82000732421875,,,505.07000732421875,226.4250030517578
1.6729999780654907,2020.8499755859375,19.43000030517578,1276.199951171875,17.235000610351562,49.56999969482422,2.680000066757202,94.5,6.241000175476074,117.18399810791016,204.3800048828125,,,509.8500061035156,238.22900390625
1.7799999713897705,2050.030029296875,17.329999923706055,1259.699951171875,17.30500030517578,53.04999923706055,2.753999948501587,93.5999984741211,6.249499797821045,117.57499694824219,199.35000610351562,,,520.9299926757812,227.26800537109375
1.7970000505447388,2041.510009765625,18.329999923706055,1263.800048828125,17.378999710083008,48.45000076293945,2.6619999408721924,93.98999786376953,6.245699882507324,117.64600372314453,202.02999877929688,,,517.7100219726562,226.85299682617188
1.815000057220459,2062.52001953125,16.850000381469727,1262.0,17.18000030517578,50.47999954223633,2.5999999046325684,94.69999694824219,6.23769998550415,117.28800201416016,203.92999267578125,,,530.3699951171875,217.11099243164062
1.937999963760376,2055.469970703125,17.290000915527344,1233.9000244140625,16.67799949645996,51.689998626708984,2.5789999961853027,94.69999694824219,6.242099761962891,117.53500366210938,192.86000061035156,,,528.719970703125,222.26600646972656
